id,umap_x,umap_y,syllable_type
6.0,3.6722646,0.44792166,Chevron
7.0,2.6189313,-3.3295717,Complex
8.0,3.1245766,-4.008662,Chevron
1.0,12.8152,4.811567,Up
2.0,8.07279,5.809382,Flat
3.0,7.1578135,6.404871,Flat
4.0,7.9675484,6.3501678,Flat
5.0,7.4438086,6.1670423,Flat
6.0,8.727404,-0.57875174,Chevron
7.0,7.1741567,6.840963,Flat
8.0,10.336512,3.7831812,Flat
9.0,12.1681,5.376349,Flat
10.0,2.2573378,-0.7841576,Complex
1.0,4.1200686,1.9394565,Complex
2.0,2.8072753,-0.3616275,Chevron
1.0,13.411439,3.6738634,Short
2.0,10.953769,-0.55308914,Flat
3.0,14.038897,5.767921,Short
4.0,13.872309,3.8498685,Flat
5.0,13.827265,3.7300496,Flat
1.0,6.888326,-5.4455886,Complex
2.0,13.081874,5.674215,Flat
3.0,13.271365,6.436053,Short
4.0,13.538462,6.3236294,Short
5.0,2.649561,-3.2870557,Complex
6.0,13.942809,5.5182014,Short
7.0,4.1726923,-3.5918922,Chevron
8.0,7.5693574,-4.909553,Chevron
1.0,13.977685,3.0157528,Short
2.0,4.4444857,-2.2638767,Chevron
3.0,11.470721,3.602096,Down
1.0,5.888119,-5.1935506,Complex
2.0,11.463073,5.3051953,Down
3.0,5.765583,-5.2415156,Complex
4.0,4.288054,-2.7441926,Chevron
5.0,5.905383,-5.168073,Complex
6.0,3.2433007,-3.0458376,Complex
1.0,14.083673,3.6730778,Short
2.0,8.067192,-4.8167205,Short
3.0,5.3841724,-5.6797614,Complex
4.0,3.0150814,-3.8833952,Chevron
5.0,2.543294,-2.9427614,Complex
6.0,13.31863,4.803878,Flat
7.0,2.4326477,-4.1377697,Complex
1.0,13.843463,0.99656945,Short
2.0,13.43275,3.7146595,Short
1.0,2.2177904,-3.2301319,Short
2.0,3.938208,0.42867228,Frequency_Jump
3.0,3.4626355,1.6997821,Frequency_Jump
4.0,3.4741874,-1.4386826,Complex
5.0,3.1569226,-2.0330665,Complex
6.0,11.630314,1.4264714,Down
7.0,13.898188,5.3349094,Short
8.0,15.471636,2.8688076,Short
1.0,5.5481753,-5.189178,Chevron
2.0,15.410759,2.8730226,Short
3.0,14.919376,2.4923267,Flat
4.0,13.391784,3.4597087,Short
5.0,13.772403,3.8128095,Short
6.0,13.384142,3.6476755,Short
7.0,2.059423,-3.3426285,Short
8.0,5.4111147,-5.5004005,Complex
9.0,1.8069525,-4.4244223,Short
1.0,4.392612,-2.6843631,Complex
1.0,3.5533857,-2.9611616,Complex
2.0,2.9028084,-3.8923163,Complex
1.0,13.575812,1.1123335,Flat
2.0,14.765694,2.3462925,Short
3.0,3.8341126,-1.6170756,Frequency_Jump
4.0,3.1073215,1.5260782,Frequency_Jump
5.0,3.3098073,1.4818289,Frequency_Jump
6.0,12.319229,2.6922228,Down
7.0,13.31541,1.0321813,Short
8.0,6.2401223,-5.7103667,Complex
1.0,12.977057,1.4400724,Down
2.0,13.32718,-0.024227062,Short
3.0,3.6239088,1.8697063,Flat
4.0,6.1119027,-5.0220885,Chevron
5.0,13.543562,0.911739,Short
1.0,13.152006,1.3602389,Down
2.0,11.052198,1.406558,Down
3.0,12.583265,-0.45309374,Short
4.0,12.604553,-0.43484852,Short
5.0,9.078018,1.2669514,Down
1.0,4.694517,0.91063493,Flat
2.0,3.819853,-1.0708503,Chevron
3.0,2.1415226,-3.066252,Complex
1.0,2.5977921,-4.1545887,Short
1.0,10.373061,1.2762403,Down
2.0,1.0859507,3.029444,Frequency_Jump
3.0,1.7421057,4.515656,Frequency_Jump
4.0,2.0527513,4.5198836,Chevron
5.0,3.5132706,4.1654816,Flat
6.0,2.0434852,4.348876,Chevron
7.0,2.4763958,2.1353552,Chevron
8.0,3.2596498,2.9782352,Chevron
