stem,label,is_problem,n_events,file_min_flatness,file_mean_flatness,file_max_tonal_fraction,file_max_consec_tonal
2024-09-30_12-18-36_0000485,auto_accept,0,6,0.000859381523161952,0.29422413262309105,0.8801169590643275,200
2024-09-30_12-19-20_0000489,auto_accept,0,11,0.0008687043662791053,0.26792773090065886,0.9743589743589743,321
2024-09-30_12-19-34_0000490,auto_accept,0,5,0.0021541658356040577,0.2648714397810437,0.9192200557103064,220
2024-09-30_12-20-00_0000495,auto_accept,0,5,0.0007682958233033312,0.20906731825763442,0.877742946708464,225
2024-09-30_12-20-03_0000496,auto_accept,0,2,0.06570080201990071,0.458429350684625,0.74375,51
2024-09-30_12-20-36_0000498,auto_accept,0,6,0.0030116738067982587,0.3129164404277105,0.9884393063583815,299
2024-09-30_12-20-44_0000499,auto_accept,0,2,0.008772518653576302,0.3271675485224118,0.5947368421052631,106
2024-09-30_12-20-50_0000500,auto_accept,0,1,0.0014897159800772663,0.11198092837575718,0.8992628992628993,237
2024-09-30_12-21-18_0000501,auto_accept,0,10,0.006610488012025596,0.350357949697696,0.888,285
2024-09-30_12-21-30_0000502,auto_accept,0,4,0.009354071233293364,0.3338967001185781,0.8346938775510204,157
2024-09-30_12-21-51_0000503,auto_accept,0,3,0.01208110059436611,0.39844685396746476,0.870754716981132,243
2024-09-30_12-22-18_0000504,auto_accept,0,8,0.0016699702897749523,0.3284201332397327,0.8912529550827423,461
2024-09-30_12-23-32_0000511,auto_accept,0,12,0.005407252918382467,0.3588177829186175,0.8847457627118644,511
2024-09-30_12-23-34_0000512,auto_accept,0,2,0.039902313820989084,0.33193924836323874,0.88268156424581,69
2024-09-30_12-24-39_0000525,auto_accept,0,6,0.005149717173562117,0.33681403424151046,0.9,279
2024-09-30_12-24-44_0000526,auto_accept,0,22,0.001639980175950475,0.3221720420734376,0.9718969555035128,479
2024-09-30_12-25-33_0000529,auto_accept,0,11,0.0008602601357845588,0.3395679612420395,0.8395348837209302,350
2024-09-30_12-25-35_0000530,auto_accept,0,2,0.016331924243370013,0.28662873411337336,1.0,252
2024-09-30_12-25-50_0000531,auto_accept,0,9,0.0017740358437010018,0.20603623706205135,0.994535519125683,344
2024-09-30_12-26-15_0000534,auto_accept,0,5,0.0016379177380942635,0.2833990126879603,0.8397887323943662,246
2024-09-30_12-27-32_0000540,auto_accept,0,8,0.009069078654401876,0.3031252550204457,0.8472727272727273,227
2024-09-30_12-27-54_0000543,auto_accept,0,1,0.1119649351558556,0.46948095377068183,0.4423076923076923,13
2024-09-30_12-28-10_0000547,auto_accept,0,9,0.006987846704038689,0.3411305642875417,0.9058823529411765,270
2024-09-30_12-30-42_0000555,auto_accept,0,16,0.000778686617003411,0.26040814213230296,0.9210526315789473,448
2024-09-30_12-31-38_0000556,auto_accept,0,5,0.0023639759157977687,0.2952939844198652,0.9750889679715302,173
2024-09-30_12-31-57_0000559,auto_accept,0,2,0.03213493859560144,0.39221196331896374,0.6392857142857142,65
2024-09-30_12-32-22_0000560,auto_accept,0,7,0.0017824752686602442,0.2463898375743283,0.8896396396396397,262
2024-09-30_12-32-26_0000561,auto_accept,0,21,0.0016790957180399689,0.2612394286477515,0.9967105263157895,529
2024-09-30_12-33-08_0000564,auto_accept,0,5,0.0024295713997211327,0.30352933118018166,0.875,320
2024-09-30_12-33-14_0000566,auto_accept,0,7,0.0034027811130261845,0.30886972495694975,0.8260869565217391,373
2024-09-30_12-33-18_0000567,auto_accept,0,7,0.002040756228460127,0.22811819790041635,0.9919839679358717,433
2024-09-30_12-34-07_0000569,auto_accept,0,2,0.07544765692431663,0.5117971430786687,0.2909090909090909,27
2024-09-30_12-34-25_0000570,auto_accept,0,1,0.4301665783148707,0.5691272184979379,0.06153846153846154,1
2024-09-30_12-36-21_0000575,auto_accept,0,2,0.05132771842587217,0.47097045513266195,0.3923076923076923,46
2024-09-30_12-36-24_0000576,auto_accept,0,3,0.0017053793945673934,0.19422975710953674,0.9368029739776952,227
2024-09-30_12-37-39_0000579,auto_accept,0,13,0.0006254686034866764,0.27972133161418705,0.8589981447124304,383
2024-09-30_12-39-51_0000586,auto_accept,0,6,0.0005034540370183768,0.23747031342596178,0.8787878787878788,409
2024-09-30_12-40-36_0000587,auto_accept,0,5,0.002488468410354994,0.35624482996597795,0.85625,182
2024-09-30_12-41-11_0000590,auto_accept,0,10,0.0011830797032842263,0.2436186125191538,0.9845758354755784,384
2024-09-30_12-41-34_0000591,auto_accept,0,2,0.002193443609150286,0.35768261637510923,0.8571428571428571,152
2024-09-30_12-42-11_0000594,auto_accept,0,2,0.0023798661524338173,0.37161167605156514,0.7214285714285714,170
2024-09-30_12-42-14_0000595,auto_accept,0,5,0.006345947661963169,0.38866014887008904,0.7947214076246334,118
2024-09-30_12-43-05_0000598,auto_accept,0,7,0.0006504641504092075,0.31767137577964843,0.8957446808510638,279
2024-09-30_12-43-09_0000599,auto_accept,0,7,0.0022824749651402885,0.2473337462284973,0.9379310344827586,485
2024-09-30_12-43-14_0000600,auto_accept,0,5,0.006382115395502225,0.25050955150137694,0.950381679389313,193
2024-09-30_12-45-41_0000603,auto_accept,0,4,0.0015995744983797323,0.24785717658484996,0.884180790960452,226
2024-09-30_12-46-06_0000607,auto_accept,0,1,0.0028309501619228814,0.24188725381073345,0.8357142857142857,231
2024-09-30_12-46-09_0000608,auto_accept,0,11,0.0007291497204959255,0.2486801991920666,0.8705234159779615,383
2024-09-30_12-46-29_0000611,auto_accept,0,6,0.00140024287006818,0.25183260295117027,0.8277777777777777,369
2024-09-30_12-48-51_0000612,auto_accept,0,5,0.0006363891043171205,0.29195744946362207,0.8627118644067797,451
2024-09-30_12-48-54_0000613,auto_accept,0,10,0.0013382075025417223,0.23109277860550215,0.9798206278026906,312
2024-09-30_12-48-59_0000614,auto_accept,0,8,0.0019206594878473505,0.29836387355360894,0.5833333333333334,98
2024-09-30_12-49-06_0000616,auto_accept,0,7,0.0012200195104919336,0.2477765639414528,0.9596541786743515,240
2024-09-30_12-50-14_0000620,auto_accept,0,21,0.0004820452183812827,0.25667035527992804,1.0,433
2024-09-30_12-50-37_0000621,auto_accept,0,12,0.0011520469414758846,0.3145401355665481,0.9813278008298755,317
2024-09-30_12-50-52_0000622,auto_accept,0,3,0.010217315888729286,0.3921396870333065,0.9538152610441767,300
2024-09-30_12-51-05_0000623,auto_accept,0,1,0.025283733131327275,0.4112300314376204,0.6472727272727272,103
2024-09-30_12-51-44_0000626,auto_accept,0,9,0.0018542582003333258,0.31077936460108246,0.8698412698412699,453
2024-09-30_12-51-50_0000627,auto_accept,0,2,0.042941370624721024,0.42171941663936846,0.82,127
2024-09-30_12-51-55_0000628,auto_accept,0,2,0.04120906537005171,0.38693602353171985,0.5958333333333333,90
2024-09-30_12-52-08_0000629,auto_accept,0,11,0.0025762720312436697,0.26867065576501264,0.9333333333333333,432
2024-09-30_12-52-18_0000630,auto_accept,0,3,0.061383865267338765,0.4257445109145388,0.6272727272727273,92
2024-09-30_12-52-34_0000631,auto_accept,0,4,0.00825451435303,0.3219709053021619,0.8696078431372549,245
2024-09-30_12-52-37_0000632,auto_accept,0,5,0.025322756253306048,0.4436000887246213,0.6884615384615385,109
2024-09-30_12-52-41_0000633,auto_accept,0,1,0.07008359848622589,0.378362074231236,0.725,106
2024-09-30_12-52-47_0000634,auto_accept,0,2,0.039250801294393796,0.42001912067323965,0.8383720930232558,142
2024-09-30_12-52-48_0000635,auto_accept,0,5,0.013802158334750828,0.3616492300657015,0.7714285714285715,238
2024-09-30_12-53-29_0000636,auto_accept,0,2,0.047875146833155774,0.4589498372418484,0.6659574468085107,75
2024-09-30_12-53-33_0000637,auto_accept,0,8,0.054978740188528975,0.3537220282739497,0.772972972972973,158
2024-09-30_12-53-36_0000638,auto_accept,0,2,0.03653184768889254,0.3791246207220718,0.638095238095238,96
2024-09-30_12-54-16_0000643,auto_accept,0,6,0.003138512281387732,0.3466738423596853,0.7916666666666666,142
2024-09-30_12-54-28_0000644,auto_accept,0,8,0.0006106376457342246,0.2980574037418813,0.9411764705882353,152
2024-09-30_12-55-02_0000646,auto_accept,0,7,0.0024598924275997885,0.29920314870683934,0.8552238805970149,295
2024-09-30_12-55-08_0000647,auto_accept,0,5,0.007994751451627934,0.3770962024413672,0.8448979591836735,154
2024-09-30_12-55-38_0000648,auto_accept,0,7,0.05156234587824843,0.41396958001887335,0.565,67
2024-09-30_12-55-52_0000649,auto_accept,0,5,0.012979201860933475,0.3611399795980625,0.8037914691943128,217
2024-09-30_12-56-44_0000652,auto_accept,0,9,0.002118290271495462,0.332651034008826,0.9314814814814815,371
2024-09-30_12-57-17_0000655,auto_accept,0,3,0.009503473245466434,0.32802410971099355,0.9975961538461539,254
2024-09-30_12-57-38_0000658,auto_accept,0,3,0.0016006123155178486,0.2987688870600324,0.8434622467771639,225
2024-09-30_12-58-35_0000666,auto_accept,0,16,0.007489361855601062,0.3557128549829136,0.9321533923303835,317
2024-09-30_12-58-50_0000668,auto_accept,0,5,0.0007666901230100027,0.18373652959775835,0.9346153846153846,447
2024-09-30_12-59-38_0000675,auto_accept,0,7,0.07511060764026244,0.41513057439210305,0.6857142857142857,74
