wav_stem,begin_time_s,end_time_s,duration_s,low_freq_khz,high_freq_khz,score
2024-09-30_18-27-33_0002251,1.75099444444444,1.84059444444444,0.0895999999999999,57.5,82.1875,0.726965963840485
2024-09-30_18-27-33_0002251,2.26634222222222,2.30154222222222,0.0352000000000001,58.125,71.25,0.589743137359619
2024-09-30_18-27-33_0002251,2.45354222222222,2.54154222222222,0.0879999999999996,56.875,73.125,0.551853835582733
2024-09-30_19-13-41_0002477,0.99469,1.04749,0.0528,73.4375,97.8125,0.664690256118774
2024-09-30_19-13-41_0002477,1.05549,1.13069,0.0751999999999999,56.25,65.3125,0.795307457447052
2024-09-30_19-13-41_0002477,1.18189,1.22189,0.04,57.5,67.5,0.652778506278992
2024-09-30_19-17-23_0002502,0.91116,0.94796,0.0367999999999999,71.25,81.25,0.645310282707214
2024-09-30_19-17-23_0002502,1.00876,1.12471666666667,0.115956666666666,58.75,102.1875,0.596605658531189
2024-09-30_19-17-23_0002502,1.18711666666667,1.25431666666667,0.0671999999999999,57.1875,80,0.793964803218842
2024-09-30_19-17-23_0002502,1.30551666666667,1.36791666666667,0.0624,51.25,81.25,0.56725001335144
2024-09-30_19-32-56_0002601,0.988415833333333,1.06361583333333,0.0752,65.9375,84.6875,0.674438655376434
2024-09-30_19-32-56_0002601,1.13881583333333,1.18841583333333,0.0496000000000001,74.375,106.5625,0.755670130252838
2024-09-30_19-32-56_0002601,1.23961583333333,1.31641583333333,0.0768,65.9375,105,0.829175591468811
2024-09-30_19-32-56_0002601,1.34521583333333,1.48982208333333,0.14460625,50,101.875,0.723039150238037
2024-09-30_19-39-06_0002641,0.118403333333333,0.155203333333333,0.0368,77.1875,90.3125,0.603471577167511
2024-09-30_19-43-29_0002661,1.01936222222222,1.10736222222222,0.0880000000000001,72.8125,107.8125,0.685568332672119
2024-09-30_19-43-29_0002661,1.10736222222222,1.13936222222222,0.032,86.25,100.9375,0.543691635131836
2024-09-30_19-43-29_0002661,1.20016222222222,1.26576222222222,0.0656000000000001,68.125,95,0.802904188632965
2024-09-30_19-43-29_0002661,1.32016222222222,1.34896222222222,0.0287999999999999,76.5625,93.75,0.524951636791229
2024-09-30_19-43-29_0002661,1.41296222222222,1.50504166666667,0.0920794444444442,59.375,89.375,0.632785081863403
2024-09-30_19-43-29_0002661,1.54664166666667,1.58824166666667,0.0416000000000001,60.9375,74.6875,0.830987751483917
2024-09-30_19-43-29_0002661,1.64424166666667,1.78024166666667,0.136,54.0625,75.3125,0.682412564754486
2024-09-30_19-43-29_0002661,1.83624166666667,1.88584166666667,0.0496000000000001,62.8125,75,0.717179000377655
2024-09-30_20-12-53_0002767,0.995853333333333,1.06945333333333,0.0736,60.625,96.875,0.785772144794464
2024-09-30_20-12-53_0002767,1.13345333333333,1.24705333333333,0.1136,58.4375,105,0.551483452320099
2024-09-30_20-12-53_0002767,1.28225333333333,1.47377833333333,0.191525,53.75,92.5,0.879116415977478
2024-09-30_20-12-53_0002767,1.55217833333333,1.59217833333333,0.04,61.25,82.1875,0.652990579605103
2024-09-30_20-12-53_0002767,1.64177833333333,1.68017833333333,0.0384,65,75,0.591216862201691
2024-09-30_20-12-53_0002767,2.04450333333333,2.11650333333333,0.0720000000000001,58.75,91.5625,0.856403827667236
2024-09-30_20-12-53_0002767,2.19810333333333,2.29730333333333,0.0992000000000002,46.5625,69.6875,0.623565018177032
2024-09-30_20-12-53_0002767,2.44562833333333,2.51122833333333,0.0655999999999999,65.9375,102.8125,0.596465885639191
2024-09-30_20-12-53_0002767,2.58162833333333,2.61202833333333,0.0304000000000002,65.625,80.625,0.571791112422943
2024-09-30_20-12-53_0002767,3.01635333333333,3.13955333333333,0.1232,55,91.875,0.708560168743134
2024-09-30_20-12-53_0002767,3.18867833333333,3.26867833333333,0.0800000000000001,59.375,67.1875,0.880358994007111
2024-09-30_20-12-53_0002767,3.31667833333333,3.38547833333333,0.0688,50.3125,60.9375,0.714344143867493
2024-09-30_20-19-32_0002790,1.02105583333333,1.08505583333333,0.0640000000000001,72.1875,110,0.70674854516983
2024-09-30_20-19-32_0002790,1.12345583333333,1.20985583333333,0.0864,42.5,106.5625,0.645788252353668
