id,umap_x,umap_y,syllable_type
2.0,14.3412,8.568837,Complex
1.0,1.2864155,3.6400588,Short
2.0,3.2005703,7.0583916,Down
1.0,2.7660196,5.6959743,Short
1.0,14.552426,8.495071,Short
1.0,13.55321,8.564503,Chevron
1.0,14.683941,9.172243,Complex
2.0,14.742416,9.170163,Complex
3.0,14.703397,9.132194,Complex
1.0,13.248084,7.1226897,Short
1.0,13.1796255,8.486475,Complex
1.0,3.5823998,6.0707464,Flat
1.0,2.776844,6.352452,Short
1.0,4.233474,6.4416986,Flat
1.0,14.6002865,8.412649,Short
2.0,2.5393398,6.6357164,Short
3.0,14.269474,9.559118,Complex
1.0,12.7932825,9.706819,Chevron
2.0,3.2967463,6.164812,Flat
3.0,0.8919206,4.439211,Flat
4.0,14.19498,9.568678,Complex
1.0,2.8612912,5.9907713,Short
2.0,12.00039,10.291938,Chevron
1.0,2.3081934,3.4291987,Short
2.0,2.4875557,3.3252275,Short
3.0,1.2260367,3.7224422,Short
1.0,2.653944,6.386588,Short
2.0,11.486481,10.343486,Chevron
3.0,2.4108553,4.0442247,Short
4.0,3.9489,6.8771944,Flat
5.0,3.8998947,6.9644547,Flat
6.0,11.593807,10.429001,Down
7.0,12.411862,10.412844,Chevron
8.0,11.892977,10.197254,Chevron
1.0,12.945946,9.551487,Chevron
2.0,11.940736,10.131507,Chevron
3.0,3.4417164,7.1574345,Short
1.0,2.3253849,5.4484577,Short
2.0,6.0215964,7.51319,Down
3.0,13.516563,8.769713,Chevron
1.0,5.2871184,7.5252376,Down
2.0,3.3440766,3.7336414,Flat
3.0,12.2019825,10.497333,Short
4.0,12.806525,9.834968,Complex
5.0,14.708982,9.501595,Short
1.0,11.265376,7.7201614,Up
2.0,13.307062,8.994113,Chevron
3.0,14.457435,9.609676,Complex
1.0,2.0433059,5.1479435,Short
2.0,12.140104,10.25479,Chevron
3.0,12.236833,10.735639,Short
1.0,12.169438,10.409622,Short
2.0,14.679044,9.611585,Short
3.0,2.7948227,6.7064867,Short
4.0,12.093951,10.515338,Complex
1.0,3.3074331,7.0769434,Short
1.0,4.031515,7.614027,Down
2.0,14.847024,8.805906,Short
1.0,10.510717,7.792745,Complex
2.0,11.249421,7.706164,Up
3.0,2.0803597,5.120206,Short
4.0,1.9377226,4.665685,Short
1.0,11.702449,10.653812,Complex
2.0,11.254762,7.9219866,Chevron
1.0,2.9446318,5.589533,Short
2.0,1.999357,5.1506786,Short
3.0,13.513388,8.713491,Flat
4.0,5.612736,8.168796,Down
5.0,2.239694,3.4674945,Short
6.0,6.1279154,7.207529,Up
7.0,11.889079,10.646921,Short
8.0,5.407657,7.748795,Flat
9.0,11.998403,10.342595,Chevron
1.0,13.021089,9.487527,Complex
2.0,6.341003,7.445525,Down
3.0,13.877726,7.6355586,Short
1.0,14.536249,9.493463,Complex
2.0,4.6747193,7.1484427,Flat
1.0,2.825304,5.879149,Flat
2.0,5.6030626,6.7235575,Up
3.0,1.4615029,3.7538307,Flat
1.0,2.8074908,5.7043233,Short
1.0,3.988357,7.057208,Flat
2.0,14.070502,9.225379,Complex
1.0,2.4014125,4.285362,Short
2.0,3.6256974,6.7369404,Up
1.0,2.802341,5.8080754,Short
1.0,14.217303,9.759042,Complex
2.0,1.913884,4.454078,Short
3.0,2.8845222,4.283575,Short
1.0,12.026855,8.559135,Chevron
2.0,1.6924266,4.190249,Short
1.0,4.3169165,7.3096747,Flat
2.0,12.104506,7.74614,Short
1.0,12.722325,10.251153,Chevron
2.0,13.428089,9.143846,Complex
3.0,5.5759892,6.745513,Up
4.0,4.5980124,7.073382,Flat
5.0,12.342402,10.278443,Chevron
1.0,11.593079,10.642851,Short
2.0,4.6506205,7.088594,Flat
3.0,2.3942525,3.3061495,Short
4.0,2.9922154,6.140171,Up
5.0,12.574256,10.30668,Chevron
1.0,11.95899,10.679456,Short
1.0,2.8146338,5.74022,Short
2.0,4.1652985,7.0609565,Flat
1.0,6.138777,7.423976,Flat
1.0,5.4127707,8.385297,Flat
1.0,3.8068917,7.563607,Short
1.0,5.0620728,6.8735957,Up
2.0,2.4960902,3.224077,Short
3.0,2.4827564,3.2066553,Short
4.0,2.28535,3.9222105,Short
1.0,4.0567007,7.5441437,Down
1.0,4.4947295,7.258661,Flat
2.0,4.575543,6.9405317,Flat
1.0,14.6337805,9.742559,Complex
1.0,12.707301,5.5358286,Short
1.0,12.472025,7.5663567,Frequency_Jump
1.0,4.81714,6.6565046,Flat
1.0,1.9816878,4.2467046,Short
2.0,4.8442593,7.9869986,Up
3.0,10.219435,7.695315,Short
4.0,10.178686,7.684749,Short
5.0,10.210799,7.671766,Short
6.0,10.222385,7.7180266,Short
7.0,10.191628,7.6939116,Short
8.0,10.188613,7.722491,Short
9.0,10.245052,7.744898,Short
10.0,10.15465,7.718918,Short
1.0,4.506043,7.627909,Flat
2.0,1.5953137,3.68637,Up
1.0,11.253653,8.410413,Up
2.0,5.158076,9.127511,Flat
3.0,4.937804,6.5480556,Up
4.0,3.1344903,4.1059027,Short
5.0,4.624136,9.334093,Up
6.0,5.4150386,9.84032,Chevron
7.0,5.140616,9.375768,Flat
8.0,5.064196,9.669807,Flat
9.0,4.3039904,8.870535,Up
10.0,3.49889,3.8004742,Flat
11.0,1.6198363,3.6293702,Short
1.0,2.5080893,3.328367,Short
1.0,10.466664,7.866476,Chevron
1.0,5.3393836,9.862855,Chevron
2.0,4.2615333,8.946412,Up
1.0,5.170331,9.58922,Up
2.0,10.480789,7.8274226,Chevron
1.0,4.945246,9.645751,Up
1.0,11.427221,8.367566,Chevron
2.0,4.768463,9.547787,Flat
3.0,5.332118,9.872158,Flat
4.0,5.4368095,9.848539,Chevron
1.0,2.0148385,4.5713277,Short
2.0,3.6030395,7.1193233,Short
3.0,4.0872154,8.586891,Up
4.0,4.0665255,8.528482,Up
5.0,4.0421896,8.577473,Up
6.0,4.0992665,8.579139,Up
7.0,4.074878,8.57058,Up
1.0,4.4092097,7.095265,Flat
2.0,2.623562,4.226879,Short
1.0,5.5825114,8.180763,Flat
2.0,5.565981,9.731487,Chevron
3.0,2.3128517,3.601739,Short
4.0,5.02637,7.8782487,Up
1.0,2.7156777,4.1332173,Short
2.0,4.983479,6.7710886,Up
1.0,3.4376323,3.8302777,Flat
1.0,14.555583,10.113313,Frequency_Jump
2.0,2.898764,4.284714,Short
1.0,5.681787,7.9579654,Flat
2.0,2.7287803,3.6346676,Up
3.0,5.5344396,7.9877853,Flat
4.0,1.270863,3.6838582,Short
1.0,5.0415154,6.9776635,Flat
2.0,11.676202,7.5684943,Short
3.0,3.2007258,5.55892,Short
4.0,12.102064,10.679687,Short
1.0,5.4957194,8.22807,Flat
2.0,4.2587886,6.3321285,Flat
3.0,4.0363774,6.2727246,Flat
4.0,5.287772,7.6679583,Flat
1.0,4.3123574,8.023058,Up
