stem,detection_idx,start_time_s,end_time_s,duration_s,max_probability,mean_probability,window_count,start_window,end_window
2024-10-09_01-01-15_0007397,0,2.12992,2.1725866666666667,0.04266666666666685,0.9369661211967468,0.8554985089735552,100,4940,5040
2024-10-09_01-01-17_0007398,0,0.49152,0.5341866666666667,0.042666666666666686,0.9260490536689758,0.7996429150754755,100,1100,1200
2024-10-09_01-11-57_0007419,0,0.9949866666666667,1.08032,0.08533333333333326,0.9835767149925232,0.8025517875239963,200,2280,2480
2024-10-09_01-16-26_0007431,0,1.4941866666666668,1.55392,0.059733333333333194,0.9882893562316895,0.8690875411033631,140,3450,3590
2024-10-09_01-17-36_0007437,0,0.9992533333333333,1.0973866666666667,0.0981333333333334,0.9996819496154785,0.9396181429425875,230,2290,2520
2024-10-09_01-17-36_0007437,1,1.1912533333333333,1.2253866666666666,0.03413333333333335,0.9028130769729614,0.847089774078793,80,2740,2820
2024-10-09_01-17-36_0007437,2,1.3192533333333334,1.3533866666666667,0.03413333333333335,0.9028639197349548,0.8474188711908128,80,3040,3120
2024-10-09_01-17-36_0007437,3,1.4472533333333333,1.4813866666666666,0.03413333333333335,0.9029518961906433,0.847630500793457,80,3340,3420
2024-10-09_01-17-36_0007437,4,1.5752533333333334,1.6093866666666667,0.03413333333333335,0.9029761552810669,0.8475075562795004,80,3640,3720
2024-10-09_01-17-36_0007437,5,1.73312,1.8056533333333333,0.07253333333333334,0.9945540428161621,0.8910405006673601,170,4010,4180
2024-10-09_01-21-46_0007459,0,0.69632,0.79872,0.10239999999999994,0.9935113787651062,0.9063232445716858,240,1580,1820
2024-10-09_01-21-46_0007459,1,0.8328533333333333,0.92672,0.09386666666666665,0.9356634020805359,0.8358272314071655,220,1900,2120
2024-10-09_01-21-46_0007459,2,0.9693866666666666,1.0760533333333333,0.10666666666666669,0.9997852444648743,0.9351341701470889,250,2220,2470
2024-10-09_01-21-46_0007459,3,1.2040533333333334,1.3021866666666666,0.09813333333333318,0.9951112866401672,0.8644593432545662,230,2770,3000
2024-10-09_01-21-46_0007459,4,1.34912,1.4557866666666666,0.10666666666666647,0.9994761347770691,0.9522229868632096,250,3110,3360
2024-10-09_01-21-46_0007459,5,1.4984533333333334,1.5624533333333332,0.06399999999999983,0.9869831800460815,0.8760043848305941,150,3460,3610
2024-10-09_01-25-41_0007468,0,0.2568533333333333,0.30378666666666665,0.04693333333333333,0.9352318644523621,0.807452437778314,110,550,660
2024-10-09_01-30-57_0007481,0,0.87552,1.0376533333333333,0.16213333333333335,0.9984812140464783,0.7966660215304449,380,2000,2380
2024-10-09_01-30-57_0007481,1,1.09312,1.1741866666666667,0.08106666666666662,0.9916002750396729,0.8218586519360542,190,2510,2700
2024-10-09_01-30-57_0007481,2,1.2253866666666666,1.3021866666666666,0.07679999999999998,0.9916002750396729,0.8438454913465601,180,2820,3000
2024-10-09_01-30-57_0007481,3,1.3533866666666667,1.40032,0.04693333333333327,0.9348690509796143,0.8211379374066988,110,3120,3230
2024-10-09_01-39-23_0007492,0,1.2424533333333334,1.3064533333333332,0.06399999999999983,0.9957107305526733,0.8889485597610474,150,2860,3010
2024-10-09_01-54-05_0007529,0,0.4232533333333333,0.46165333333333336,0.038400000000000045,0.8194124698638916,0.7651732563972473,90,940,1030
2024-10-09_01-54-05_0007529,1,0.55552,0.60672,0.05120000000000002,0.9329143166542053,0.8135127746141874,120,1250,1370
2024-10-09_01-54-05_0007529,2,0.65792,0.7773866666666667,0.11946666666666672,0.9987494945526123,0.9366079661352881,280,1490,1770
2024-10-09_01-54-05_0007529,3,0.9608533333333333,1.04192,0.08106666666666662,0.9975054860115051,0.9184994667768478,190,2200,2390
2024-10-09_02-06-36_0007576,0,0.99072,1.06752,0.07679999999999998,0.9945399165153503,0.8962321877479553,180,2270,2450
2024-10-09_02-08-43_0007580,0,0.47872,0.55552,0.07680000000000003,0.9767119884490967,0.8093054263215316,180,1070,1250
2024-10-09_02-08-43_0007580,1,0.6280533333333334,0.76032,0.13226666666666664,0.9853894710540771,0.8022569911554456,310,1420,1730
2024-10-09_02-33-20_0007659,0,1.9720533333333334,2.0104533333333334,0.03839999999999999,0.9285756945610046,0.8570221990346909,90,4570,4660
2024-10-09_02-33-55_0007662,0,1.7885866666666668,1.83552,0.04693333333333327,0.9522413015365601,0.8532523935039839,110,4140,4250
2024-10-09_02-36-42_0007669,0,0.9992533333333333,1.08032,0.08106666666666662,0.999908447265625,0.9582180380821228,190,2290,2480
2024-10-09_02-39-17_0007673,0,1.8141866666666666,1.8909866666666666,0.07679999999999998,0.9411975741386414,0.8694861405774167,180,4200,4380
2024-10-09_03-00-30_0007754,0,0.65792,0.6920533333333333,0.03413333333333335,0.8156513571739197,0.7719533642133077,80,1490,1570
2024-10-09_03-00-30_0007754,1,0.81152,0.8541866666666666,0.04266666666666663,0.8880626559257507,0.7961807196790521,100,1850,1950
2024-10-09_03-01-08_0007760,0,1.9336533333333332,2.00192,0.06826666666666692,0.915145218372345,0.7339078573619618,160,4480,4640
2024-10-09_03-04-15_0007776,0,0.6024533333333333,0.6280533333333334,0.025600000000000067,0.850527286529541,0.8050305332456317,60,1360,1420
2024-10-09_03-08-07_0007788,0,0.7048533333333333,0.82432,0.11946666666666672,0.9672295451164246,0.6672091812923037,280,1600,1880
